time,x,x_dot,theta,theta_dot,torque
0.775,0.2373752,0.44547594,3.02886,-0.021232486,7.5076904
0.78,0.23829457,0.44469306,3.0289023,-0.022597399,7.5128784
0.785,0.2392124,0.44392362,3.028942,-0.023917716,7.5198364
0.79,0.24012871,0.44316402,3.028979,-0.025205446,7.5246887
0.795,0.24104355,0.44241822,3.0290139,-0.026447354,7.5319214
0.8,0.24195692,0.44168067,3.029046,-0.027661927,7.5358887
0.805,0.24286884,0.44095606,3.029076,-0.028833713,7.542633
0.81,0.24377933,0.4402398,3.0291038,-0.029977415,7.5467834
0.8150000000000001,0.24468844,0.4395352,3.0291293,-0.031082371,7.5528564
0.8200000000000001,0.24559616,0.43883955,3.0291526,-0.032157637,7.5573425
0.8250000000000001,0.2465025,0.4381539,3.0291739,-0.03319989,7.562439
0.8300000000000001,0.24740751,0.43747756,3.0291932,-0.03421084,7.5672607
0.835,0.24831118,0.43680978,3.0292106,-0.035193477,7.5715637
0.84,0.24921353,0.43615067,3.029226,-0.036147088,7.5760193
0.845,0.2501146,0.43550014,3.02924,-0.037072085,7.580414
0.85,0.25101438,0.4348569,3.0292516,-0.03797289,7.5840454
0.855,0.25191286,0.4342241,3.0292618,-0.0388388,7.5895996
0.86,0.25281015,0.4335965,3.0292704,-0.039687235,7.5920715
0.865,0.2537062,0.43297744,3.0292773,-0.040507127,7.596527
0.87,0.25460097,0.43236554,3.0292826,-0.041303217,7.6001587
0.875,0.25549456,0.43176144,3.0292864,-0.04207304,7.604248
0.88,0.25638697,0.43116352,3.0292885,-0.04282232,7.6073303
0.885,0.25727817,0.4305736,3.0292895,-0.04354468,7.6115723
0.89,0.2581683,0.42998844,3.0292888,-0.044251252,7.6138306
0.895,0.25905725,0.42941177,3.0292869,-0.044929188,7.618408
0.9,0.259945,0.4288396,3.0292838,-0.045592047,7.620575
0.905,0.26083168,0.42827335,3.0292792,-0.04623493,7.6236267
0.91,0.2617173,0.4277139,3.0292735,-0.046855032,7.6271973
0.915,0.2626017,0.42715943,3.0292666,-0.047458254,7.62973
0.92,0.26348504,0.42661086,3.0292587,-0.048041727,7.632782
0.925,0.2643673,0.42606628,3.0292494,-0.048611656,7.634735
0.93,0.2652485,0.4255292,3.0292392,-0.049156357,7.638794
0.935,0.26612863,0.42499545,3.0292277,-0.04968988,7.6403503
0.9400000000000001,0.26700768,0.42446807,3.0292156,-0.05020192,7.6437683
0.9450000000000001,0.26788568,0.42394307,3.0292022,-0.050705627,7.6448364
0.9500000000000001,0.2687627,0.42342487,3.029188,-0.051186547,7.6484985
0.9550000000000001,0.26963866,0.42291012,3.0291727,-0.05165561,7.650223
0.96,0.27051365,0.42240044,3.0291564,-0.05210758,7.652893
0.965,0.27138758,0.4218949,3.0291395,-0.05254549,7.6550293
0.97,0.27226055,0.42139274,3.0291216,-0.052971926,7.656708
0.975,0.2731325,0.42089543,3.029103,-0.053381775,7.659317
0.98,0.27400345,0.4204011,3.0290835,-0.053781547,7.6607666
0.985,0.27487344,0.41991177,3.0290635,-0.05416422,7.6634827
0.99,0.27574247,0.41942397,3.0290425,-0.054541413,7.6641235
0.995,0.27661055,0.41894186,3.0290208,-0.05489947,7.667221
1.0,0.27747768,0.41846216,3.0289984,-0.055248998,7.6684265
1.0050000000000001,0.27834386,0.41798648,3.0289755,-0.05558498,7.670532
1.01,0.27920908,0.41751269,3.0289516,-0.05591425,7.6714325
1.0150000000000001,0.28007334,0.41704425,3.0289273,-0.056225374,7.6743774
1.02,0.28093666,0.41657725,3.0289025,-0.056531545,7.6749725
1.025,0.28179905,0.4161131,3.028877,-0.05682765,7.676483
1.03,0.28266057,0.4156526,3.028851,-0.057111356,7.678421
1.035,0.28352115,0.41519412,3.0288243,-0.05738792,7.679428
1.04,0.2843808,0.41473967,3.0287971,-0.05765088,7.681595
1.045,0.28523958,0.41428703,3.0287695,-0.057907447,7.68248
1.05,0.2860974,0.41383705,3.0287414,-0.058154725,7.6838837
1.055,0.2869544,0.41338944,3.0287127,-0.058393758,7.6851044
1.06,0.28781047,0.41294426,3.0286837,-0.058624275,7.686386
1.065,0.28866568,0.41250157,3.028654,-0.05884604,7.6877136
1.07,0.28952003,0.41206136,3.0286243,-0.059059378,7.68898
1.075,0.29037344,0.41162202,3.0285938,-0.059269283,7.6893616
1.08,0.29122603,0.41118723,3.028563,-0.059463687,7.69191
1.085,0.29207775,0.4107526,3.028532,-0.059657127,7.691864
1.09,0.29292858,0.41031986,3.0285006,-0.059843794,7.692856
1.095,0.29377854,0.40988982,3.0284686,-0.06002123,7.69429
1.1,0.29462767,0.4094621,3.0284364,-0.060190506,7.6955414
1.105,0.29547596,0.40903544,3.0284038,-0.060355894,7.6960297
1.11,0.29632342,0.40861174,3.028371,-0.060511116,7.697647
1.115,0.29717,0.40818736,3.0283377,-0.060667943,7.697159
1.12,0.29801577,0.40776807,3.0283043,-0.06080758,7.7000427
1.125,0.29886067,0.40734744,3.0282707,-0.060951218,7.699127
1.1300000000000001,0.29970473,0.40692925,3.0282366,-0.06108639,7.7004547
1.135,0.300548,0.40651345,3.0282023,-0.061213173,7.701767
1.1400000000000001,0.3013904,0.40609866,3.028168,-0.06133604,7.702286
1.145,0.302232,0.4056841,3.0281332,-0.061457776,7.702301
1.1500000000000001,0.30307278,0.40527278,3.028098,-0.06156848,7.7041016
1.155,0.30391273,0.40486214,3.0280628,-0.061676405,7.704422
1.16,0.30475184,0.4044532,3.0280275,-0.06177824,7.7053375
1.165,0.30559012,0.4040442,3.027992,-0.06187973,7.7052307
1.17,0.3064276,0.4036372,3.027956,-0.061974473,7.7062683
1.175,0.3072643,0.40323263,3.0279202,-0.062060434,7.707672
1.18,0.3081002,0.40282643,3.027884,-0.062151417,7.706604
1.185,0.30893525,0.4024241,3.0278478,-0.062229164,7.7088165
1.19,0.3097695,0.40202087,3.0278113,-0.06230941,7.708206
1.195,0.31060296,0.40161994,3.0277746,-0.062381685,7.7094727
1.2,0.31143564,0.40122008,3.0277379,-0.062449932,7.710037
1.205,0.31226748,0.4008203,3.027701,-0.0625174,7.710022
1.21,0.31309855,0.40042248,3.027664,-0.06257815,7.711075
1.215,0.31392884,0.40002444,3.0276268,-0.06263897,7.710907
1.22,0.3147583,0.39962837,3.0275896,-0.062692806,7.7120056
1.225,0.31558698,0.39923212,3.0275521,-0.06274672,7.711838
1.23,0.3164149,0.3988379,3.0275147,-0.062793605,7.7129517
1.235,0.317242,0.39844346,3.027477,-0.06284078,7.7127533
1.24,0.31806833,0.39805093,3.0274394,-0.06288111,7.7138367
